AviationTechEvents,Year
B707-1008,1957
B707-300,1958
B720-0008,1959
B720-000,1960
B707-300B,1961
,1962
,1963
DC9-10,1964
DC9-30,1965
D737-100/200,1966
,1967
DC9-40,1968
B747-100 (WIDE BODIES),1969
B747-200/300,1970
,1971
DC10-30,1972
L1011-1/100/200,1973
,1974
,1975
DC9-50,1976
,1977
,1978
L1011-500,1979
DC9089All,1980
,1981
B737-300,1982
B757-200,1983
A310-300,1984
,1985
,1986
B767-300,1987
A320-100/200,1988
B747-400,1989
B737-500,1990
,1991
,1992
,1993
,1994
B777,1995
,1996
,1997
,1998
,1999
,2000
,2001
,2002
,2003
,2004
A380,2005
,2006
,2007
,2008
,2009
,2010
B787,2011
,2012
,2013
